uiis_sample_id,uiis_image_path,suim_sample_id,suim_partition,suim_image_path,phash_distance,review_decision,reviewer,review_date,notes
uiis_train_001645,data\uiis_raw\train\XL_1962.jpg,f_r_1997_,calibration,data/suim_processed/images/train_val/f_r_1997_.jpg,4,same_scene,Codex-GPT-5.6-visual-review,2026-07-23,Visual review: same underwater scene or adjacent frame; exclude from the independent UIIS confirmation pool.
uiis_train_002966,data\uiis_raw\train\XL_537.jpg,f_r_1997_,calibration,data/suim_processed/images/train_val/f_r_1997_.jpg,4,same_scene,Codex-GPT-5.6-visual-review,2026-07-23,Visual review: same underwater scene or adjacent frame; exclude from the independent UIIS confirmation pool.
uiis_train_003144,data\uiis_raw\train\XL_725.jpg,f_r_1997_,calibration,data/suim_processed/images/train_val/f_r_1997_.jpg,4,same_scene,Codex-GPT-5.6-visual-review,2026-07-23,Visual review: same underwater scene or adjacent frame; exclude from the independent UIIS confirmation pool.
uiis_val_000288,data\uiis_raw\val\XL_2041.jpg,f_r_1997_,calibration,data/suim_processed/images/train_val/f_r_1997_.jpg,4,same_scene,Codex-GPT-5.6-visual-review,2026-07-23,Visual review: same underwater scene or adjacent frame; exclude from the independent UIIS confirmation pool.
uiis_val_000358,data\uiis_raw\val\XL_2468.jpg,f_r_1948_,test,data/suim_processed/images/test/f_r_1948_.jpg,4,same_scene,Codex-GPT-5.6-visual-review,2026-07-23,Visual review: same underwater scene or adjacent frame; exclude from the independent UIIS confirmation pool.
uiis_train_000336,data\uiis_raw\train\L_352.jpg,f_r_1355_,train,data/suim_processed/images/train_val/f_r_1355_.jpg,4,same_scene,Codex-GPT-5.6-visual-review,2026-07-23,Visual review: same underwater scene or adjacent frame; exclude from the independent UIIS confirmation pool.
uiis_train_000861,data\uiis_raw\train\XL_102.jpg,f_r_370_,train,data/suim_processed/images/train_val/f_r_370_.jpg,4,same_scene,Codex-GPT-5.6-visual-review,2026-07-23,Visual review: same underwater scene or adjacent frame; exclude from the independent UIIS confirmation pool.
uiis_train_001947,data\uiis_raw\train\XL_2296.jpg,f_r_370_,train,data/suim_processed/images/train_val/f_r_370_.jpg,4,same_scene,Codex-GPT-5.6-visual-review,2026-07-23,Visual review: same underwater scene or adjacent frame; exclude from the independent UIIS confirmation pool.
uiis_train_002001,data\uiis_raw\train\XL_235.jpg,f_r_694_,train,data/suim_processed/images/train_val/f_r_694_.jpg,4,same_scene,Codex-GPT-5.6-visual-review,2026-07-23,Visual review: same underwater scene or adjacent frame; exclude from the independent UIIS confirmation pool.
uiis_train_003668,data\uiis_raw\train\XXL_420.jpg,f_r_1454_,train,data/suim_processed/images/train_val/f_r_1454_.jpg,4,same_scene,Codex-GPT-5.6-visual-review,2026-07-23,Visual review: same underwater scene or adjacent frame; exclude from the independent UIIS confirmation pool.
uiis_train_003690,data\uiis_raw\train\XXL_445.jpg,f_r_576_,train,data/suim_processed/images/train_val/f_r_576_.jpg,4,same_scene,Codex-GPT-5.6-visual-review,2026-07-23,Visual review: same underwater scene or adjacent frame; exclude from the independent UIIS confirmation pool.
uiis_train_003747,data\uiis_raw\train\XXL_504.jpg,f_r_264_,train,data/suim_processed/images/train_val/f_r_264_.jpg,4,same_scene,Codex-GPT-5.6-visual-review,2026-07-23,Visual review: same underwater scene or adjacent frame; exclude from the independent UIIS confirmation pool.
uiis_val_000219,data\uiis_raw\val\XL_1482.jpg,f_r_1957_,train,data/suim_processed/images/train_val/f_r_1957_.jpg,4,same_scene,Codex-GPT-5.6-visual-review,2026-07-23,Visual review: same underwater scene or adjacent frame; exclude from the independent UIIS confirmation pool.
